state,composite_dfm_corr,composite_gdp_corr,dfm_gdp_corr
AZ,-0.9231218010766915,0.7494563074355051,0.09824216033365746
CA,-0.923839819614776,0.6594759209946173,0.09049355013655347
FL,-0.922468708938146,0.6671226527744935,0.13333163706566475
IL,-0.9276267701252696,0.40545381261327545,0.3830952192492419
MI,-0.9226812582491654,0.19280753404685805,0.42935821624410364
NC,-0.9171224137649769,0.5601178819057918,0.11659689221507644
NY,-0.9318304909776228,0.5792553358999691,0.18050257823706722
OH,-0.904369959620118,0.34851877490312305,0.29143057105678244
PA,-0.9207919358544596,0.3687049171938374,0.49105997315936384
TX,-0.9385121162301104,0.7852492741605765,-0.021236142741836248
