state,precision,recall,flags
AL,0.25,0.4,8
AR,0.2857142857142857,0.2,7
AZ,0.09090909090909091,0.25,11
CA,0.375,0.5,8
CO,0.6666666666666666,0.6666666666666666,6
DC,0.6666666666666666,0.14285714285714285,3
DE,0.5,0.38461538461538464,10
FL,0.25,0.6666666666666666,8
GA,0.23076923076923078,0.6,13
IA,0.6,0.35294117647058826,10
ID,0.2222222222222222,0.2857142857142857,9
IL,0.3333333333333333,0.2,6
IN,0.16666666666666666,0.16666666666666666,6
KS,0.375,0.3333333333333333,8
KY,0.4444444444444444,0.4,9
LA,0.3333333333333333,0.15384615384615385,6
MA,0.2,0.2222222222222222,10
MD,0.1111111111111111,0.14285714285714285,9
ME,0.3333333333333333,0.2857142857142857,6
MI,0.2727272727272727,0.2727272727272727,11
MN,0.5,0.35714285714285715,10
MO,0.2222222222222222,0.25,9
MS,0.42857142857142855,0.21428571428571427,7
MT,0.5,0.45454545454545453,10
NC,0.2727272727272727,0.5,11
ND,0.5,0.23529411764705882,8
NE,0.4,0.3076923076923077,10
NH,0.3,0.23076923076923078,10
NJ,0.25,0.2857142857142857,8
NM,0.5,0.5454545454545454,12
NV,0.375,0.75,8
NY,0.2857142857142857,0.18181818181818182,7
OH,0.3333333333333333,0.3333333333333333,9
OK,0.4444444444444444,0.3076923076923077,9
OR,0.25,0.2857142857142857,8
PA,0.125,0.1,8
RI,0.42857142857142855,0.2,7
SC,0.2,1.0,10
SD,0.75,0.35294117647058826,8
TN,0.16666666666666666,0.6666666666666666,12
TX,0.1111111111111111,0.125,9
UT,0.1,0.3333333333333333,10
VA,0.2857142857142857,0.5714285714285714,14
VT,0.25,0.2,8
WA,0.25,0.2857142857142857,8
WI,0.5,0.4,8
WV,0.75,0.3333333333333333,8
WY,0.45454545454545453,0.29411764705882354,11
